anime_id,url,title,title_english,source,episodes,status,aired start,aired finish,duration(minutes per episode),rating,score,scored by (#users),rank,popularity(rank),season,calculated year,year,broadcast day,producers,studios,genres,theme,demographic,members
5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,Manga,64,Finished Airing,4/5/2009,7/4/2010,24,R - 17+ (violence & profanity),9.1,2054495,1,3,spring,2009,2009,Sundays,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,"Action, Adventure, Drama, Fantasy",Military,Shounen,3236324
9253,https://myanimelist.net/anime/9253/Steins_Gate,Steins;Gate,Steins;Gate,Visual novel,24,Finished Airing,4/6/2011,9/14/2011,24,PG-13 - Teens 13 or older,9.07,1360074,2,13,spring,2011,2011,Wednesdays,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",NA,2487111
28977,https://myanimelist.net/anime/28977/Gintama°,Gintama°,Gintama Season 4,Manga,51,Finished Airing,4/8/2015,3/30/2016,24,PG-13 - Teens 13 or older,9.06,242949,3,336,spring,2015,2015,Wednesdays,"TV Tokyo, Aniplex, Dentsu",Bandai Namco Pictures,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,609235
41467,https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,Bleach: Sennen Kessen-hen,Bleach: Thousand-Year Blood War,Manga,13,Finished Airing,10/11/2022,12/27/2022,24,R - 17+ (violence & profanity),9.05,244054,4,435,fall,2022,2022,Tuesdays,"TV Tokyo, Aniplex, Dentsu, Shueisha",Pierrot,"Action, Adventure, Fantasy",NA,Shounen,486569
38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,Manga,10,Finished Airing,4/29/2019,7/1/2019,23,R - 17+ (violence & profanity),9.05,1511166,6,22,spring,2019,2019,Mondays,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Wit Studio,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,2164441
9969,https://myanimelist.net/anime/9969/Gintama,Gintama',Gintama Season 2,Manga,51,Finished Airing,4/4/2011,3/26/2012,24,PG-13 - Teens 13 or older,9.04,230552,7,390,spring,2011,2011,Mondays,"TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,538045
11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,Hunter x Hunter (2011),Hunter x Hunter,Manga,148,Finished Airing,10/2/2011,9/24/2014,23,PG-13 - Teens 13 or older,9.04,1691884,8,10,fall,2011,2011,Sundays,"VAP, Nippon Television Network, Shueisha",Madhouse,"Action, Adventure, Fantasy",NA,Shounen,2720672
43608,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,Manga,13,Finished Airing,4/9/2022,6/25/2022,23,PG-13 - Teens 13 or older,9.04,479744,9,188,spring,2022,2022,Saturdays,"Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications",A-1 Pictures,"Comedy, Romance",School,Seinen,863168
15417,https://myanimelist.net/anime/15417/Gintama__Enchousen,Gintama': Enchousen,Gintama: Enchousen,Manga,13,Finished Airing,10/4/2012,3/28/2013,24,PG-13 - Teens 13 or older,9.03,160647,10,725,fall,2012,2012,Thursdays,"TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",Sunrise,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,315361
42938,https://myanimelist.net/anime/42938/Fruits_Basket__The_Final,Fruits Basket: The Final,Fruits Basket: The Final Season,Manga,13,Finished Airing,4/6/2021,6/29/2021,23,PG-13 - Teens 13 or older,8.99,221146,13,479,spring,2021,2021,Tuesdays,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",TMS Entertainment,"Drama, Romance, Supernatural",NA,Shoujo,448913
