anime_id,demographic
5114,Shounen
9253,
28977,Shounen
41467,Shounen
38524,Shounen
9969,Shounen
11061,Shounen
43608,Seinen
15417,Shounen
42938,Shoujo
34096,Shounen
918,Shounen
52991,Shounen
35180,Seinen
4181,
2904,
37491,Shounen
35247,
19,Seinen
51009,Shounen
47917,
36838,Shounen
40682,Seinen
49387,Seinen
37510,
40028,Shounen
53998,Shounen
32935,Shounen
47778,Shounen
17074,
48583,Shounen
52034,Seinen
263,Shounen
1,
54595,
37521,Seinen
50160,Seinen
24701,Seinen
33095,Josei
2921,Shounen
48569,
50172,
21,Shounen
1575,
245,Shounen
21939,Seinen
45576,
46102,
54898,Seinen
33352,
34599,
457,Seinen
5258,Shounen
41084,
23273,Shounen
11665,Shoujo
40591,Seinen
28891,Shounen
40748,Shounen
2001,
34591,Shoujo
22135,Seinen
35760,Shounen
1535,Shounen
19647,Shounen
37991,Shounen
50265,Shounen
33,Seinen
32983,Shoujo
10379,Shoujo
28735,Josei
7785,
44511,Shounen
11741,
40417,Shoujo
40776,Shounen
5300,Shoujo
877,Shoujo
16498,Shounen
170,Shounen
40834,
12365,Shounen
30484,
38474,
801,Seinen
35839,
35843,Shounen
37779,Shounen
205,
25777,Shounen
30276,Seinen
31933,Shounen
47194,Shounen
12431,Seinen
38000,Shounen
32182,
30654,Shounen
3297,Shounen
36649,Shoujo
6114,Seinen
50330,Seinen
37379,Josei
392,Shounen
10165,Shounen
31181,
40059,Seinen
53887,Shounen
36999,
42203,
20583,Shounen
26055,Shounen
37105,Seinen
2246,
49721,Shounen
38889,Shounen
467,Seinen
34612,Shounen
33255,Shounen
46095,
136,Shounen
37999,Seinen
5028,Shounen
37965,
35557,Seinen
39551,Shounen
49926,Shounen
31646,Seinen
22789,
14397,Josei
5941,Shounen
39535,
39808,Seinen
9756,
39547,
2251,
38883,Shounen
10030,Shounen
41025,Shounen
51179,
30,
10162,Josei
49918,Shounen
13601,
39587,
22535,Seinen
5040,Seinen
2559,
41487,Shounen
338,Shoujo
5081,
46654,
185,Seinen
28701,
39533,
17389,Seinen
7655,Shounen
6594,
5420,
51019,Shounen
4081,Shoujo
1210,
5341,
49596,Shounen
31988,
48316,
12531,Josei
24415,Shounen
9989,
2402,Shounen
31043,Seinen
30230,Shounen
41457,
57,Shounen
50602,Shounen
486,
45,Shounen
39247,
13125,
25835,
38691,Shounen
10087,
22507,Seinen
43325,Shounen
44940,Shounen
34798,
1698,Josei
19363,Shounen
3002,Seinen
38731,Shounen
54856,Shounen
23327,
32937,
1735,Shounen
329,Seinen
52578,Shounen
37520,Shounen
10271,Seinen
37450,
53111,
37989,Seinen
11843,
33051,
5690,Josei
31240,
44055,
1842,Shounen
2966,
38003,Seinen
48736,Seinen
38680,Shoujo
40052,
45577,
2150,Kids
6,Shounen
53393,Seinen
3091,Seinen
23847,
25681,Shoujo
16894,Shounen
18115,Shounen
627,Shounen
35838,
9863,Shounen
49052,Seinen
1142,Josei
42897,Shounen
6811,Shounen
49114,Shounen
54714,Seinen
440,
50709,
1453,Seinen
558,Shounen
3226,Shounen
40729,
32843,
37171,Seinen
54959,
32867,Seinen
18195,
23623,Seinen
7674,Shounen
34636,Shounen
10800,Josei
22297,
1889,
962,Shounen
1519,Seinen
235,Shounen
40852,Shounen
813,Shounen
7791,
38481,
40911,Shounen
232,Shoujo
48549,Shounen
18,Seinen
186,Seinen
853,Shoujo
50380,
30503,Shounen
28171,Shounen
34572,Shounen
53411,
28223,
37962,
46569,Shounen
3701,
11597,
4477,Josei
721,
50416,Seinen
37430,Shounen
51096,
39792,Seinen
239,
50528,Seinen
36296,Seinen
1604,Shounen
35857,Seinen
1827,
39592,Shounen
18689,Shounen
6746,
121,Shounen
2581,
30831,
8129,Josei
302,
52826,
33486,Shounen
40815,
20899,Shounen
14713,Shoujo
48895,
339,
28025,
34076,
23283,
24833,Shounen
16918,Shounen
15059,Seinen
49709,Shounen
135,Shounen
39198,Shounen
3927,
50796,Seinen
13759,
4722,Shoujo
32282,Shounen
4224,
54112,Seinen
42429,
12189,
22145,Shounen
19815,
1486,Shoujo
11771,Shounen
50631,Shounen
35062,Shounen
42941,
52741,Shounen
40907,Shounen
24277,Shounen
39783,Shounen
6547,
1471,Shounen
2025,
27833,
38668,Seinen
1974,Shoujo
8425,
38993,Shounen
237,
31251,
41402,Shounen
1559,Shounen
34822,
2164,
18679,
2034,Shoujo
25013,Shoujo
37870,
889,Seinen
36456,Shounen
72,
2004,Seinen
1482,Shounen
589,Shounen
153,
1914,Shoujo
42923,
535,
16049,
6211,
14813,
40174,
27663,Shounen
7054,Shoujo
14513,Shounen
44235,Kids
49782,Seinen
16706,Shounen
6045,Shoujo
35788,Shounen
1065,Shounen
66,
2167,
4789,
16,Josei
27989,
9996,Seinen
39468,
20,Shounen
50346,Shounen
861,Seinen
23199,
40716,Shounen
9656,Shoujo
40397,Shounen
846,Shounen
53199,
77,
16067,
46422,Shoujo
7720,Seinen
30015,
35790,
42249,Shounen
31173,Shoujo
42250,
27831,
387,
39570,Seinen
223,Shounen
967,Shounen
33206,
25879,Seinen
32615,
996,Shoujo
1530,
5678,
41169,
20507,Shounen
36949,Shounen
2076,Shounen
10721,
17549,Seinen
10049,Shounen
31174,
5682,
2618,
35968,
54790,
38084,
122,Shoujo
269,Shounen
21855,
38337,
11239,
38080,Shounen
15689,
52347,Shounen
18179,Shounen
658,Seinen
15,Shounen
73,
11739,Shounen
427,
6774,
12031,Seinen
17265,
37675,
29803,
27775,
48580,Shounen
51552,
28,Shounen
30279,
14075,Shounen
1470,Shounen
38408,Shounen
790,
35222,Shoujo
3907,Shounen
9289,
7062,
13331,Seinen
85,
48926,Shounen
27947,Seinen
1088,
28297,Shoujo
114,Shounen
12815,Josei
37786,
32995,
3228,Shounen
41389,Shounen
31098,Shounen
532,Shoujo
2924,
31339,Seinen
2829,
14719,Shounen
49828,
3572,
957,Shoujo
24,Shounen
10080,Shounen
1695,
36563,
2159,Seinen
20057,
2158,Shounen
31964,Shounen
7645,
36028,Seinen
934,
36593,
1594,
35075,Seinen
52976,Seinen
51680,
55742,Shounen
569,
54918,Shounen
22,Shounen
6377,Shounen
35507,
9513,Shounen
37435,
48702,Seinen
2828,Kids
249,Shounen
42745,
25517,Shounen
322,Josei
2605,Shounen
9941,
37029,Seinen
5680,
39534,Shounen
31741,Shounen
795,Shoujo
400,Seinen
11123,
3588,Shounen
52093,Shounen
17909,
53126,
6586,Shoujo
849,
32093,
52305,
890,
32998,
39195,Shounen
388,Shounen
23289,
267,
3604,
40046,
4087,
39575,
12445,Shounen
6582,Seinen
10521,Seinen
12403,
31478,Seinen
2035,Seinen
49220,
1485,Shoujo
46352,Seinen
2471,Kids
2471,Shounen
40956,Shounen
28669,
2762,Shoujo
253,Shounen
33489,
34745,Shounen
49784,Shounen
50739,
1172,
202,
21185,Shounen
1472,Shounen
12413,Seinen
42670,
34451,Shounen
97,
51297,Shounen
397,
43439,Seinen
45055,Shounen
22319,Seinen
40935,Shounen
1491,
283,
966,Seinen
41461,
29787,
49738,
20431,Seinen
3545,Shounen
48849,
80,
49776,
1425,Seinen
19111,
13203,Seinen
7588,Seinen
552,Kids
31433,
21877,Seinen
26,
95,
3750,Shoujo
35073,
210,Shounen
30727,
30123,Shoujo
31733,Shoujo
1571,Shoujo
29095,
28999,
1473,Shounen
2508,Seinen
5630,
32673,Seinen
39196,Shounen
353,
1254,Shounen
154,Shounen
93,
11887,
4080,Shoujo
1887,
52955,Shounen
709,
39940,Shounen
1818,Shounen
40906,Shounen
