anime_id,genres
5114,Action
5114,Adventure
5114,Drama
5114,Fantasy
9253,Drama
9253,Sci-Fi
9253,Suspense
28977,Action
28977,Comedy
28977,Sci-Fi
41467,Action
41467,Adventure
41467,Fantasy
38524,Action
38524,Drama
38524,Suspense
9969,Action
9969,Comedy
9969,Sci-Fi
11061,Action
11061,Adventure
11061,Fantasy
43608,Comedy
43608,Romance
15417,Action
15417,Comedy
15417,Sci-Fi
42938,Drama
42938,Romance
42938,Supernatural
34096,Action
34096,Comedy
34096,Sci-Fi
918,Action
918,Comedy
918,Sci-Fi
52991,Adventure
52991,Drama
52991,Fantasy
35180,Drama
4181,Drama
4181,Romance
4181,Supernatural
2904,Action
2904,Award Winning
2904,Drama
2904,Sci-Fi
37491,Action
37491,Comedy
37491,Sci-Fi
35247,Comedy
35247,Mystery
35247,Supernatural
19,Drama
19,Mystery
19,Suspense
51009,Action
51009,Fantasy
47917,Comedy
36838,Action
36838,Comedy
36838,Sci-Fi
40682,Action
49387,Action
49387,Adventure
49387,Drama
37510,Action
37510,Comedy
37510,Supernatural
40028,Action
40028,Drama
40028,Suspense
53998,Action
53998,Adventure
53998,Fantasy
32935,Sports
47778,Action
47778,Fantasy
17074,Comedy
17074,Mystery
17074,Romance
17074,Supernatural
48583,Action
48583,Drama
52034,Drama
52034,Supernatural
263,Sports
1,Action
1,Award Winning
1,Sci-Fi
54595,Action
54595,Comedy
54595,Fantasy
37521,Action
37521,Adventure
37521,Drama
50160,Action
24701,Adventure
24701,Mystery
24701,Slice of Life
24701,Supernatural
33095,Drama
2921,Drama
2921,Sports
48569,Action
48569,Drama
48569,Sci-Fi
50172,Action
50172,Comedy
50172,Supernatural
21,Action
21,Adventure
21,Fantasy
1575,Action
1575,Award Winning
1575,Drama
1575,Sci-Fi
245,Comedy
21939,Adventure
21939,Mystery
21939,Slice of Life
21939,Supernatural
45576,Adventure
45576,Drama
45576,Fantasy
45576,Ecchi
46102,Award Winning
46102,Drama
46102,Mystery
46102,Suspense
54898,Action
54898,Mystery
54898,Supernatural
33352,Drama
33352,Fantasy
34599,Adventure
34599,Drama
34599,Fantasy
34599,Mystery
34599,Sci-Fi
457,Adventure
457,Mystery
457,Slice of Life
457,Supernatural
5258,Sports
41084,Adventure
41084,Drama
41084,Fantasy
41084,Mystery
41084,Sci-Fi
23273,Drama
23273,Romance
11665,Drama
11665,Slice of Life
11665,Supernatural
40591,Comedy
28891,Sports
40748,Action
40748,Award Winning
40748,Fantasy
2001,Action
2001,Adventure
2001,Award Winning
2001,Sci-Fi
34591,Drama
34591,Slice of Life
34591,Supernatural
22135,Award Winning
22135,Drama
22135,Sports
35760,Action
35760,Drama
1535,Supernatural
1535,Suspense
19647,Sports
37991,Action
37991,Adventure
37991,Supernatural
50265,Action
50265,Award Winning
50265,Comedy
33,Action
33,Adventure
33,Drama
33,Fantasy
33,Horror
32983,Drama
32983,Slice of Life
32983,Supernatural
10379,Drama
10379,Slice of Life
10379,Supernatural
28735,Drama
7785,Award Winning
7785,Comedy
7785,Mystery
7785,Romance
44511,Action
44511,Fantasy
11741,Action
11741,Fantasy
11741,Supernatural
40417,Drama
40417,Romance
40417,Supernatural
40776,Sports
5300,Drama
5300,Slice of Life
5300,Supernatural
877,Drama
877,Romance
16498,Action
16498,Award Winning
16498,Drama
16498,Suspense
170,Sports
40834,Adventure
40834,Fantasy
12365,Comedy
12365,Drama
12365,Romance
30484,Drama
30484,Sci-Fi
30484,Suspense
38474,Slice of Life
801,Action
801,Mystery
801,Sci-Fi
35839,Adventure
35839,Comedy
35839,Drama
35843,Action
35843,Comedy
35843,Sci-Fi
37779,Fantasy
37779,Mystery
37779,Sci-Fi
37779,Suspense
205,Action
205,Adventure
205,Comedy
25777,Action
25777,Drama
25777,Suspense
30276,Action
30276,Comedy
31933,Action
31933,Adventure
31933,Supernatural
47194,Mystery
47194,Supernatural
47194,Suspense
12431,Comedy
12431,Sci-Fi
38000,Action
38000,Award Winning
38000,Fantasy
32182,Action
32182,Comedy
32182,Supernatural
30654,Action
30654,Comedy
3297,Fantasy
3297,Sci-Fi
3297,Slice of Life
36649,Action
36649,Adventure
36649,Drama
36649,Suspense
6114,Drama
6114,Suspense
50330,Action
50330,Mystery
50330,Supernatural
37379,Drama
37379,Sports
392,Action
392,Fantasy
10165,Comedy
31181,Comedy
31181,Mystery
31181,Supernatural
40059,Action
40059,Adventure
53887,Action
53887,Comedy
36999,Comedy
36999,Mystery
36999,Supernatural
42203,Drama
42203,Fantasy
42203,Suspense
20583,Sports
26055,Action
26055,Adventure
26055,Supernatural
37105,Comedy
2246,Horror
2246,Mystery
2246,Supernatural
49721,Comedy
38889,Drama
38889,Romance
467,Action
467,Award Winning
467,Sci-Fi
34612,Comedy
34612,Supernatural
33255,Comedy
33255,Supernatural
46095,Action
46095,Sci-Fi
46095,Suspense
136,Action
136,Adventure
136,Fantasy
37999,Comedy
5028,Sports
37965,Drama
37965,Sports
35557,Action
35557,Drama
35557,Fantasy
35557,Mystery
39551,Action
39551,Adventure
39551,Comedy
39551,Fantasy
49926,Action
49926,Fantasy
31646,Drama
22789,Slice of Life
14397,Drama
14397,Sports
5941,Drama
5941,Romance
5941,Sports
39535,Adventure
39535,Drama
39535,Fantasy
39535,Ecchi
39808,Slice of Life
9756,Award Winning
9756,Drama
9756,Suspense
39547,Comedy
39547,Romance
2251,Action
2251,Comedy
2251,Mystery
2251,Supernatural
38883,Sports
10030,Comedy
10030,Drama
10030,Romance
41025,Adventure
41025,Drama
41025,Supernatural
51179,Adventure
51179,Drama
51179,Fantasy
51179,Ecchi
30,Action
30,Avant Garde
30,Award Winning
30,Drama
30,Sci-Fi
30,Suspense
10162,Slice of Life
49918,Action
13601,Action
13601,Mystery
13601,Sci-Fi
13601,Suspense
39587,Drama
39587,Fantasy
39587,Suspense
22535,Action
22535,Horror
22535,Sci-Fi
5040,Sports
2559,Adventure
2559,Drama
2559,Slice of Life
41487,Action
41487,Adventure
41487,Comedy
41487,Fantasy
338,Drama
338,Romance
5081,Mystery
5081,Romance
5081,Supernatural
46654,Drama
185,Action
185,Drama
28701,Action
28701,Fantasy
28701,Supernatural
39533,Boys Love
39533,Drama
17389,Action
7655,Sports
6594,Action
6594,Adventure
6594,Romance
5420,Drama
5420,Fantasy
51019,Action
51019,Fantasy
4081,Drama
4081,Slice of Life
4081,Supernatural
1210,Comedy
1210,Drama
1210,Romance
5341,Adventure
5341,Fantasy
5341,Romance
49596,Sports
31988,Drama
48316,Action
48316,Comedy
48316,Fantasy
12531,Drama
12531,Romance
24415,Sports
9989,Drama
9989,Supernatural
2402,Drama
2402,Sports
31043,Mystery
31043,Supernatural
31043,Suspense
30230,Sports
41457,Action
41457,Drama
41457,Sci-Fi
57,Comedy
57,Drama
50602,Action
50602,Comedy
486,Adventure
486,Drama
486,Fantasy
45,Action
45,Adventure
45,Comedy
45,Romance
