anime_id,producers
5114,Aniplex
5114,Square Enix
5114,Mainichi Broadcasting System
5114,Studio Moriken
9253,Frontier Works
9253,Media Factory
9253,Kadokawa Shoten
9253,Movic
9253,AT-X
9253,Kadokawa Pictures Japan
9253,Nitroplus
28977,TV Tokyo
28977,Aniplex
28977,Dentsu
41467,TV Tokyo
41467,Aniplex
41467,Dentsu
41467,Shueisha
38524,Production I.G
38524,Dentsu
38524,Mainichi Broadcasting System
38524,Pony Canyon
38524,Kodansha
38524,Techno Sound
38524,Pony Canyon Enterprises
9969,TV Tokyo
9969,Aniplex
9969,Dentsu
9969,Trinity Sound
9969,Miracle Robo
9969,Studio Jack
9969,Shueisha
11061,VAP
11061,Nippon Television Network
11061,Shueisha
43608,Aniplex
43608,Mainichi Broadcasting System
43608,Magic Capsule
43608,Shueisha
43608,JR East Marketing & Communications
15417,TV Tokyo
15417,Aniplex
15417,Dentsu
15417,Shueisha
15417,Miracle Bus
42938,TV Tokyo
42938,TV Osaka
42938,Nihon Ad Systems
42938,Hakusensha
42938,Avex Pictures
42938,TMS Music
42938,8PAN
34096,TV Tokyo
34096,Aniplex
34096,Dentsu
34096,Shueisha
918,TV Tokyo
918,Aniplex
918,Dentsu
918,Trinity Sound
918,Audio Highs
918,Miracle Robo
918,Shueisha
52991,Aniplex
52991,Dentsu
52991,Shogakukan-Shueisha Productions
52991,Nippon Television Network
52991,TOHO animation
52991,Shogakukan
35180,Aniplex
35180,Dentsu
35180,NHK
35180,Hakusensha
35180,Asmik Ace
35180,Toys Factory
4181,Pony Canyon
4181,TBS
4181,Rakuonsha
4181,Animation Do
2904,Bandai Visual
2904,Mainichi Broadcasting System
2904,Bandai
2904,Bandai Namco Entertainment
2904,Hakuhodo DY Media Partners
37491,TV Tokyo
37491,Aniplex
37491,Dentsu
37491,Shueisha
35247,Aniplex
35247,Kodansha
19,VAP
19,Shogakukan-Shueisha Productions
19,Nippon Television Network
51009,Mainichi Broadcasting System
51009,TOHO animation
51009,Shueisha
51009,dugout
51009,Sumzap
47917,Aniplex
47917,Houbunsha
36838,TV Tokyo
36838,Aniplex
36838,Dentsu
36838,Shueisha
40682,Shueisha
49387,Dentsu
49387,Kodansha
49387,Twin Engine
37510,Warner Bros. Japan
37510,KlockWorx
37510,BS Fuji
37510,Hakuhodo DY Music & Pictures
37510,Shogakukan
40028,Production I.G
40028,Dentsu
40028,Mainichi Broadcasting System
40028,Pony Canyon
40028,Kodansha
40028,Techno Sound
40028,Pony Canyon Enterprises
53998,TV Tokyo
53998,Aniplex
53998,Dentsu
53998,Shueisha
53998,Zack Promotion
32935,Dentsu
32935,Mainichi Broadcasting System
32935,Movic
32935,Sony Music Entertainment
32935,TOHO animation
32935,Shueisha
47778,Aniplex
47778,Shueisha
17074,Aniplex
17074,Kodansha
17074,Cyclone Graphics
48583,Production I.G
48583,Dentsu
48583,Mainichi Broadcasting System
48583,Pony Canyon
48583,Kodansha
48583,Pony Canyon Enterprises
52034,Shueisha
52034,CyberAgent
52034,Kadokawa
263,VAP
1,Bandai Visual
54595,AT-X
54595,Magic Capsule
54595,BS NTV
54595,Kadokawa
54595,NewGin
54595,Aiming
37521,Production I.G
37521,Dentsu
37521,Kodansha
37521,Twin Engine
50160,Avex Pictures
50160,Shueisha
50160,NHK Enterprises
24701,Aniplex
24701,Kodansha
24701,Delfi Sound
33095,Mainichi Broadcasting System
33095,Kodansha
33095,DAX Production
33095,King Records
2921,Annapuru
48569,Aniplex
48569,Kadokawa
48569,Bandai Spirits
50172,Shogakukan-Shueisha Productions
50172,Warner Bros. Japan
50172,KlockWorx
50172,BS Fuji
50172,Hakuhodo DY Music & Pictures
50172,Shogakukan
21,Fuji TV
21,TAP
21,Shueisha
1575,Bandai Visual
1575,Mainichi Broadcasting System
1575,Bandai
1575,Sony Music Entertainment
1575,Bandai Namco Entertainment
1575,Hakuhodo DY Media Partners
245,Aniplex
245,Fuji TV
21939,Aniplex
21939,Kodansha
21939,Delfi Sound
45576,Frontier Works
45576,TOHO
45576,TOHO animation
45576,Tokyo MX
45576,Hakuhodo DY Music & Pictures
45576,BS11
45576,Egg Firm
45576,Kadokawa
45576,GREE Entertainment
46102,TV Tokyo
46102,Dentsu
46102,Pony Canyon
46102,AT-X
46102,Crunchyroll
46102,Pony Canyon Enterprises
46102,Yoshimoto Kogyo
54898,WOWOW
54898,Lantis
54898,Movic
54898,Glovision
54898,Crunchyroll
54898,Sunrise Music
54898,Kadokawa
54898,Sony Music Solutions
54898,Bandai Namco Music Live
33352,Lantis
33352,Pony Canyon
33352,Rakuonsha
33352,ABC Animation
34599,AT-X
34599,Takeshobo
34599,Sony Music Communications
34599,Kadokawa Media House
34599,Cygames
34599,Kanetsu Investment
34599,Kadokawa
34599,Global Solutions
34599,IRMA LA DOUCE
457,Avex Entertainment
457,Marvelous Entertainment
457,SKY Perfect Well Think
457,Delfi Sound
5258,VAP
5258,Kodansha
5258,Nippon Television Network
41084,AT-X
41084,Takeshobo
41084,Kadokawa Media House
41084,Cygames
41084,Kadokawa
41084,Global Solutions
41084,Sony Music Solutions
41084,IRMA LA DOUCE
23273,Aniplex
23273,Dentsu
23273,Kodansha
23273,Fuji TV
23273,Lawson HMV Entertainment
23273,Kyoraku Industrial Holdings
23273,Kansai Telecasting
11665,TV Tokyo
11665,Aniplex
11665,Nihon Ad Systems
11665,Hakusensha
11665,Sony Music Entertainment
40591,Aniplex
40591,Mainichi Broadcasting System
40591,Shueisha
40591,JR East Marketing & Communications
28891,Dentsu
28891,Mainichi Broadcasting System
28891,Movic
28891,Sony Music Entertainment
28891,TOHO animation
28891,Shueisha
40748,Mainichi Broadcasting System
40748,TOHO animation
40748,Shueisha
40748,dugout
40748,Sumzap
2001,TV Tokyo
2001,Aniplex
2001,Dentsu
2001,Konami
2001,Half H.P Studio
2001,Bandai
34591,TV Tokyo
34591,Aniplex
34591,Nihon Ad Systems
34591,Hakusensha
22135,Aniplex
22135,Dentsu
22135,Fuji TV
22135,Kyoraku Industrial Holdings
35760,Production I.G
35760,Dentsu
35760,Mainichi Broadcasting System
35760,Pony Canyon
35760,Kodansha
35760,Techno Sound
35760,Pony Canyon Enterprises
1535,VAP
1535,Nippon Television Network
1535,Shueisha
1535,D.N. Dream Partners
19647,VAP
19647,Kodansha
19647,Nippon Television Network
37991,Warner Bros. Japan
50265,TV Tokyo
50265,Shogakukan-Shueisha Productions
50265,TOHO animation
50265,Shueisha
33,VAP
33,Hakusensha
33,Nippon Television Network
32983,TV Tokyo
32983,Aniplex
32983,Nihon Ad Systems
32983,Hakusensha
10379,Aniplex
10379,Sakura Create
28735,Starchild Records
28735,Mainichi Broadcasting System
28735,Kodansha
28735,DAX Production
7785,Dentsu
7785,Kadokawa Shoten
7785,Fuji TV
7785,TOHO
7785,Asmik Ace
7785,Tohokushinsha Film Corporation
7785,Sony Music Entertainment
7785,Fujipacific Music
44511,Unknown
11741,Aniplex
11741,Nitroplus
11741,Seikaisha
11741,Notes
40417,TV Tokyo
40417,TV Osaka
40417,Nihon Ad Systems
40417,Hakusensha
40417,Avex Pictures
40417,TMS Music
40417,8PAN
40776,Dentsu
40776,Mainichi Broadcasting System
40776,Movic
40776,Sony Music Entertainment
40776,TOHO animation
40776,Shueisha
5300,Aniplex
5300,Nihon Ad Systems
877,VAP
877,Nippon Television Network
877,Shueisha
16498,Production I.G
16498,Dentsu
16498,Mainichi Broadcasting System
16498,Pony Canyon
16498,Kodansha
16498,Pony Canyon Enterprises
170,TV Asahi
40834,Aniplex
40834,Dentsu
40834,Fuji TV
40834,Kadokawa
40834,Bandai Spirits
12365,NHK
12365,Shueisha
30484,Frontier Works
30484,Movic
30484,Kadokawa
38474,Half H.P Studio
38474,MAGES.
38474,DeNA
801,Bandai Visual
801,Dentsu
801,Victor Entertainment
801,Kodansha
801,Tokuma Shoten
801,Nippon Television Network
35839,Movic
35839,AT-X
35839,Sony Music Communications
35839,Docomo Anime Store
35839,Kadokawa Media House
35839,Kadokawa
35839,NewGin
35839,Crunchyroll SC Anime Fund
35843,TV Tokyo
35843,Aniplex
35843,Dentsu
35843,Shueisha
37779,Aniplex
37779,Dentsu
37779,Fuji TV
37779,Shueisha
37779,CA-Cygames Anime Fund
205,Victor Entertainment
205,Fuji TV
205,Barnum Studio
205,Tokuma Shoten
205,flying DOG
25777,Production I.G
25777,Dentsu
25777,Mainichi Broadcasting System
25777,Pony Canyon
25777,Kodansha
25777,Techno Sound
25777,Pony Canyon Enterprises
30276,TV Tokyo
30276,Bandai Visual
30276,Lantis
30276,Asatsu DK
30276,Banpresto
30276,Good Smile Company
30276,Shueisha
30276,JR East Marketing & Communications
31933,Warner Bros. Japan
47194,Shogakukan-Shueisha Productions
47194,Movic
47194,MAGES.
47194,Tokyo MX
47194,Shueisha
47194,Toys Factory
47194,Bandai Spirits
12431,Yomiuri Telecasting
12431,Trinity Sound
38000,Aniplex
38000,Shueisha
32182,Warner Bros. Japan
32182,KlockWorx
32182,BS Fuji
32182,Hakuhodo DY Music & Pictures
32182,Shogakukan
30654,Dentsu
30654,Studio Hibari
30654,Fuji TV
30654,DAX Production
30654,Avex Pictures
30654,Shueisha
30654,Kansai Telecasting
3297,Production I.G
3297,TV Tokyo
3297,Media Factory
3297,Shochiku
3297,Mag Garden
36649,Aniplex
36649,Dentsu
36649,Movic
36649,Fuji TV
36649,Shogakukan
6114,VAP
6114,Nippon Television Network
50330,WOWOW
50330,Lantis
50330,Movic
50330,Glovision
50330,Crunchyroll
50330,Kadokawa
50330,Sony Music Solutions
50330,Bandai Namco Music Live
37379,Kodansha
37379,Nippon Television Network
37379,TC Entertainment
37379,Nippon Television Music
37379,FBC
392,Yomiko Advertising
392,Fuji TV
10165,Lantis
10165,Kadokawa Shoten
10165,Movic
10165,Rakuonsha
10165,Kadokawa Pictures Japan
10165,KlockWorx
10165,Animation Do
31181,Aniplex
40059,Magic Capsule
40059,NBCUniversal Entertainment Japan
40059,Twin Engine
53887,TV Tokyo
53887,Shogakukan-Shueisha Productions
53887,TOHO animation
53887,Shueisha
36999,Aniplex
36999,Kodansha
42203,AT-X
42203,Memory-Tech
42203,Hakuhodo DY Music & Pictures
42203,Kadokawa Media House
42203,Kadokawa
20583,Dentsu
20583,Mainichi Broadcasting System
20583,Movic
20583,TOHO animation
20583,Shueisha
20583,Spacey Music Entertainment
26055,Yomiko Advertising
26055,Warner Bros. Japan
26055,KlockWorx
26055,Medicos Entertainment
26055,Shueisha
37105,Mainichi Broadcasting System
37105,Kodansha
37105,NBCUniversal Entertainment Japan
37105,Avex Pictures
37105,Q-Tec
37105,JR East Marketing & Communications
37105,GYAO!
2246,Dentsu
2246,SKY Perfect Well Think
2246,Fuji TV
2246,Asmik Ace
2246,Sony Music Entertainment
49721,Shogakukan-Shueisha Productions
49721,Magic Capsule
49721,Asmik Ace
49721,TOHO animation
49721,Shogakukan
49721,Toho Music
38889,WOWOW
38889,Movic
38889,KlockWorx
38889,Memory-Tech
38889,King Records
38889,Shueisha
38889,Pony Canyon Enterprises
467,Bandai Visual
467,Dentsu
467,Victor Entertainment
467,Animax
467,Kodansha
467,Trilogy Future Studio
467,Tokuma Shoten
467,Nippon Television Network
34612,TV Tokyo
34612,Shogakukan-Shueisha Productions
34612,Nippon Columbia
34612,KlockWorx
34612,Asmik Ace
34612,Bandai Namco Entertainment
34612,Shueisha
34612,Toys Factory
34612,Dear Stage inc.
33255,TV Tokyo
33255,Shogakukan-Shueisha Productions
33255,Pony Canyon
33255,Nippon Columbia
33255,KlockWorx
33255,Asmik Ace
33255,Bandai Namco Entertainment
33255,Shueisha
33255,Toys Factory
33255,Dear Stage inc.
46095,Aniplex
136,Fuji TV
37999,Aniplex
37999,Mainichi Broadcasting System
37999,Magic Capsule
37999,Shueisha
37999,JR East Marketing & Communications
5028,Shogakukan-Shueisha Productions
5028,NHK
37965,Movic
37965,Nippon Television Network
37965,TOHO animation
37965,Toys Factory
37965,Cygames
37965,Yomiuri Shimbun
37965,MediaLink Entertainment Limited
35557,Mainichi Broadcasting System
35557,Kodansha
35557,Movic
35557,AT-X
35557,TOHO animation
35557,Tokyo MX
35557,Q-Tec
35557,Kyoraku Industrial Holdings
35557,BS11
39551,Kodansha
49926,Aniplex
49926,Shueisha
31646,Aniplex
31646,Dentsu
31646,NHK
31646,Hakusensha
31646,Asmik Ace
31646,Toys Factory
22789,VAP
22789,Nippon Television Network
14397,VAP
14397,Nippon Television Network
5941,TV Tokyo
5941,Shogakukan-Shueisha Productions
39535,Frontier Works
39535,TOHO
39535,TOHO animation
39535,Hakuhodo DY Music & Pictures
39535,BS11
39535,Egg Firm
39535,Kadokawa
39535,GREE
39535,Toho Music
39808,TV Tokyo
39808,Lantis
39808,AT-X
39808,Kadokawa
39808,Bandai Namco Arts
39808,Bit grooove promotion
39808,Sony Music Solutions
9756,Aniplex
9756,Mainichi Broadcasting System
9756,Movic
9756,Nitroplus
9756,Houbunsha
39547,Marvelous Entertainment
39547,TBS
39547,Movic
39547,Delfi Sound
39547,NBCUniversal Entertainment Japan
2251,Aniplex
2251,Sakura Create
2251,Happinet Pictures
38883,Dentsu
38883,Mainichi Broadcasting System
38883,Movic
38883,Sony Music Entertainment
38883,TOHO animation
38883,Shueisha
10030,NHK
10030,Shueisha
41025,NHK
41025,Kodansha
41025,NHK Enterprises
51179,Frontier Works
51179,TOHO
51179,TOHO animation
51179,Hakuhodo DY Music & Pictures
51179,BS11
51179,Egg Firm
51179,Kadokawa
51179,GREE Entertainment
30,TV Tokyo
30,Kadokawa Shoten
30,Nihon Ad Systems
30,Audio Tanaka
10162,Dentsu
10162,Fuji TV
10162,TOHO
10162,Tohokushinsha Film Corporation
10162,Sony Music Entertainment
10162,Sakura Create
10162,Fujipacific Music
10162,Shodensha
49918,Dentsu
49918,Yomiuri Telecasting
49918,Movic
49918,Sony Music Entertainment
49918,TOHO animation
49918,Shueisha
13601,Dentsu
13601,Fuji TV
13601,Nitroplus
13601,Sony Music Entertainment
13601,TOHO animation
13601,Kyoraku Industrial Holdings
39587,AT-X
39587,Memory-Tech
39587,Hakuhodo DY Music & Pictures
39587,Kadokawa Media House
39587,Kadokawa
22535,VAP
22535,Nippon Television Network
22535,Forecast Communications
5040,VAP
5040,Nippon Television Network
5040,D.N. Dream Partners
2559,Unknown
41487,Kodansha
41487,BS11
41487,Bandai Namco Arts
41487,Micro Magazine Publishing
41487,Bandai Spirits
41487,Sony Music Solutions
41487,ADK Marketing Solutions
338,Nippon Television Network
5081,Aniplex
5081,Kodansha
46654,Unknown
185,OB Planning
185,Fuji TV
28701,Aniplex
28701,Notes
39533,Aniplex
39533,Dentsu
39533,Movic
39533,Fuji TV
39533,Shinshokan
17389,NHK
17389,NHK Enterprises
7655,Shogakukan-Shueisha Productions
7655,NHK
6594,Aniplex
6594,Lantis
6594,Kodansha
6594,Movic
6594,Fuji TV
5420,NHK
51019,Aniplex
51019,Shueisha
4081,Aniplex
4081,Nihon Ad Systems
4081,TV Tokyo Music
4081,Sony Music Entertainment
1210,NHK
1210,Victor Entertainment
5341,Imagin
5341,Pony Canyon
5341,Movic
5341,Kadokawa Pictures Japan
5341,flying DOG
5341,ASCII Media Works
49596,TV Asahi
49596,Kodansha
49596,Toys Factory
49596,Crunchyroll
49596,Bandai Spirits
49596,Bandai Namco Filmworks
49596,Bandai Namco Music Live
31988,Lantis
31988,Pony Canyon
31988,Rakuonsha
48316,AT-X
48316,BS NTV
48316,Kadokawa
48316,NewGin
48316,Aiming
12531,Dentsu
12531,Fuji TV
12531,TOHO
12531,DAX Production
12531,Sony Music Entertainment
24415,Bandai Visual
24415,Lantis
24415,Nihon Ad Systems
24415,Banpresto
24415,Shueisha
24415,BS11
9989,Aniplex
9989,Dentsu
9989,Fuji TV
9989,Fujipacific Music
2402,Fuji TV
31043,Aniplex
31043,Dentsu
31043,Kadokawa Shoten
31043,Fuji TV
31043,DAX Production
31043,Kyoraku Industrial Holdings
31043,Kansai Telecasting
31043,Lawson
31043,Kanetsu Investment
31043,C-one
30230,TV Tokyo
30230,Sotsu
30230,Pony Canyon
30230,Kodansha
30230,AT-X
41457,Aniplex
41457,Kadokawa
41457,Bandai Spirits
57,Marvelous Entertainment
57,Starchild Records
57,Asatsu DK
57,Kodansha
50602,TV Tokyo
50602,Shogakukan-Shueisha Productions
50602,TOHO animation
50602,Shueisha
486,WOWOW
486,Genco
486,Pony Canyon
486,Studio Wombat
486,chara-ani.com
486,ASCII Media Works
45,Aniplex
45,SME Visual Works
45,Fuji TV
39247,Lantis
39247,ABC Animation
39247,Heart Company
13125,Aniplex
13125,TV Asahi
13125,Pony Canyon
25835,Sotsu
25835,Movic
25835,Warner Bros. Japan
25835,KlockWorx
25835,Showgate
25835,Infinite
25835,Imagine
38691,TOHO animation
38691,Shueisha
38691,8PAN
10087,Aniplex
10087,Nitroplus
10087,Seikaisha
10087,Notes
22507,Avex Entertainment
43325,Mainichi Broadcasting System
43325,Shueisha
43325,Yomiuri TV Enterprise
43325,Bandai Namco Arts
43325,Bandai Spirits
44940,TV Asahi
34798,Sotsu
34798,AT-X
34798,Sony Music Communications
34798,MAGES.
34798,81 Produce
34798,BS11
34798,FuRyu
34798,Crunchyroll SC Anime Fund
1698,Dentsu
1698,Genco
1698,SKY Perfect Well Think
1698,Kodansha
1698,Fuji TV
1698,Magic Capsule
1698,Asmik Ace
1698,Sony Music Entertainment
1698,Fujipacific Music
19363,Aniplex
19363,Dentsu
19363,Fuji TV
19363,Kyoraku Industrial Holdings
3002,VAP
3002,Nippon Television Network
38731,TV Tokyo
38731,Sotsu
38731,Pony Canyon
38731,Kodansha
38731,AT-X
38731,DAX Production
54856,Aniplex
54856,Square Enix
54856,Mainichi Broadcasting System
54856,Movic
54856,Kanetsu Investment
54856,Global Solutions
54856,Mirai-Kojo
23327,Bandai Visual
23327,flying DOG
23327,Bandai Namco Entertainment
32937,Kadokawa Shoten
32937,Nippon Columbia
32937,KlockWorx
32937,Sony Music Communications
32937,Toranoana
32937,81 Produce
32937,Kadokawa Media House
1735,TV Tokyo
1735,Aniplex
1735,KSS
1735,Rakuonsha
1735,TV Tokyo Music
1735,Shueisha
329,Bandai Visual
329,NHK
52578,Dentsu
52578,TV Asahi
52578,Movic
52578,Magic Capsule
52578,Avex Pictures
52578,Akita Shoten
52578,BS Asahi
52578,TV Asahi Music
37520,Twin Engine
10271,VAP
