anime_id,studios
5114,Bones
9253,White Fox
28977,Bandai Namco Pictures
41467,Pierrot
38524,Wit Studio
9969,Sunrise
11061,Madhouse
43608,A-1 Pictures
15417,Sunrise
42938,TMS Entertainment
34096,Bandai Namco Pictures
918,Sunrise
52991,Madhouse
35180,Shaft
4181,Kyoto Animation
2904,Sunrise
37491,Bandai Namco Pictures
35247,Shaft
19,Madhouse
51009,MAPPA
47917,CloverWorks
36838,Bandai Namco Pictures
40682,Pierrot
40682,Studio Signpost
49387,MAPPA
37510,Bones
40028,MAPPA
53998,Pierrot
32935,Production I.G
47778,ufotable
17074,Shaft
48583,MAPPA
52034,Doga Kobo
263,Madhouse
1,Sunrise
54595,Nexus
37521,Wit Studio
50160,Pierrot
50160,Studio Signpost
24701,Artland
33095,Studio Deen
2921,Tokyo Movie Shinsha
48569,A-1 Pictures
50172,Bones
21,Toei Animation
1575,Sunrise
245,Pierrot
21939,Artland
45576,Studio Bind
46102,OLM
46102,P.I.C.S.
54898,Bones
33352,Kyoto Animation
34599,Kinema Citrus
457,Artland
5258,Madhouse
41084,Kinema Citrus
23273,A-1 Pictures
11665,Brains Base
40591,A-1 Pictures
28891,Production I.G
40748,MAPPA
2001,Gainax
34591,Shuka
22135,Tatsunoko Production
35760,Wit Studio
1535,Madhouse
19647,Madhouse
19647,MAPPA
37991,David Production
50265,Wit Studio
50265,CloverWorks
33,OLM
32983,Shuka
10379,Brains Base
28735,Studio Deen
7785,Madhouse
44511,MAPPA
11741,ufotable
40417,TMS Entertainment
40776,Production I.G
5300,Brains Base
877,Madhouse
16498,Wit Studio
170,Toei Animation
40834,Wit Studio
12365,J.C.Staff
30484,White Fox
38474,C-Station
801,Production I.G
35839,Madhouse
35843,Bandai Namco Pictures
37779,CloverWorks
205,Manglobe
25777,Wit Studio
30276,Madhouse
31933,David Production
47194,OLM
12431,A-1 Pictures
38000,ufotable
32182,Bones
30654,Lerche
3297,Hal Film Maker
36649,MAPPA
6114,Madhouse
50330,Bones
37379,Madhouse
392,Pierrot
10165,Kyoto Animation
31181,Shaft
40059,Geno Studio
53887,Wit Studio
53887,CloverWorks
36999,Shaft
42203,White Fox
20583,Production I.G
26055,David Production
37105,Zero-G
2246,Toei Animation
49721,Shin-Ei Animation
38889,Platinum Vision
467,Production I.G
34612,J.C.Staff
34612,Egg Firm
33255,J.C.Staff
33255,Egg Firm
46095,Wit Studio
136,Nippon Animation
37999,A-1 Pictures
5028,SynergySP
37965,Production I.G
35557,Orange
39551,8bit
49926,ufotable
31646,Shaft
22789,Kinema Citrus
14397,Madhouse
5941,SynergySP
39535,Studio Bind
39808,SILVER LINK.
9756,Shaft
39547,feel.
2251,Brains Base
38883,Production I.G
10030,J.C.Staff
41025,Brains Base
51179,Studio Bind
30,Gainax
30,Tatsunoko Production
10162,Production I.G
49918,Bones
13601,Production I.G
39587,White Fox
22535,Madhouse
5040,Madhouse
2559,Nippon Animation
41487,8bit
338,Tokyo Movie Shinsha
5081,Shaft
46654,TROYCA
185,Gallop
185,Studio Comet
28701,ufotable
39533,Lerche
17389,Pierrot
7655,SynergySP
6594,White Fox
5420,Production I.G
5420,Trans Arts
51019,ufotable
4081,Brains Base
1210,Gonzo
5341,Brains Base
5341,Marvy Jack
49596,8bit
31988,Kyoto Animation
48316,Nexus
12531,Tezuka Productions
12531,MAPPA
24415,Production I.G
9989,A-1 Pictures
2402,Mushi Production
31043,A-1 Pictures
30230,Production I.G
30230,Madhouse
41457,A-1 Pictures
57,Madhouse
50602,Wit Studio
50602,CloverWorks
486,A.C.G.T.
45,Gallop
45,Studio Deen
39247,Kyoto Animation
13125,A-1 Pictures
25835,P.A. Works
38691,TMS Entertainment
10087,ufotable
22507,SynergySP
43325,Production I.G
44940,Toei Animation
34798,C-Station
1698,J.C.Staff
19363,A-1 Pictures
3002,Madhouse
38731,Madhouse
54856,CloverWorks
23327,Bones
32937,Studio Deen
1735,Pierrot
329,Sunrise
52578,Shin-Ei Animation
37520,Tezuka Productions
37520,MAPPA
10271,Madhouse
37450,CloverWorks
53111,J.C.Staff
37989,Geno Studio
11843,Sunrise
33051,Sunrise
5690,J.C.Staff
31240,White Fox
44055,Studio Deen
1842,Studio Hibari
2966,Imagin
38003,Bones
48736,CloverWorks
38680,TMS Entertainment
40052,Wit Studio
45577,TROYCA
2150,Telescreen
6,Madhouse
53393,Production I.G
3091,Production I.G
23847,feel.
25681,TMS Entertainment
16894,Production I.G
18115,A-1 Pictures
627,Studio Hibari
35838,White Fox
9863,Tatsunoko Production
49052,Production I.G
1142,J.C.Staff
42897,CloverWorks
6811,Sunrise
49114,Bones
54714,Bibury Animation Studios
440,J.C.Staff
50709,A-1 Pictures
1453,Studio Deen
558,Studio Hibari
3226,SynergySP
40729,TMS Entertainment
32843,Satelight
37171,Lerche
54959,SANZIGEN
32867,Bones
18195,J.C.Staff
23623,SILVER LINK.
7674,J.C.Staff
34636,Production I.G
10800,Madhouse
22297,ufotable
1889,Studio Deen
962,Hal Film Maker
1519,Madhouse
235,TMS Entertainment
40852,TMS Entertainment
813,Toei Animation
7791,Kyoto Animation
38481,J.C.Staff
40911,Production I.G
232,Madhouse
48549,TMS Entertainment
18,A.C.G.T.
186,Pastel
853,Bones
50380,P.A. Works
30503,Bones
28171,J.C.Staff
34572,Pierrot
53411,P.A. Works
28223,Madhouse
37962,TROYCA
46569,MAPPA
3701,Madhouse
11597,Shaft
4477,J.C.Staff
721,Hal Film Maker
50416,P.A. Works
37430,8bit
51096,Lerche
39792,Science SARU
239,Gonzo
50528,Brains Base
36296,feel.
1604,Artland
35857,Telecom Animation Film
1827,Production I.G
39592,Sunrise
18689,Production I.G
18689,Madhouse
6746,Brains Base
121,Bones
2581,Sunrise
30831,Studio Deen
8129,Brains Base
302,Nippon Animation
52826,Kyoto Animation
33486,Bones
40815,Ajia-do
20899,David Production
14713,TMS Entertainment
48895,Madhouse
339,Triangle Staff
28025,Shaft
34076,P.A. Works
23283,MAPPA
24833,Lerche
16918,A-1 Pictures
15059,SynergySP
49709,Drive
135,Pierrot
39198,Lerche
3927,Sunrise
50796,LIDENFILMS
13759,J.C.Staff
4722,Hal Film Maker
32282,J.C.Staff
4224,J.C.Staff
54112,BUG FILMS
42429,Ajia-do
12189,Kyoto Animation
22145,A-1 Pictures
19815,Madhouse
1486,Gallop
11771,Production I.G
50631,OLM
35062,Wit Studio
42941,Studio Kai
52741,David Production
40907,Toei Animation
24277,TMS Entertainment
39783,Bibury Animation Studios
6547,P.A. Works
1471,Sunrise
2025,Bones
27833,Shuka
38668,MAPPA
1974,Tokyo Movie Shinsha
8425,Bones
38993,Shin-Ei Animation
237,Bones
31251,Sunrise
41402,Bandai Namco Pictures
1559,TMS Entertainment
34822,feel.
2164,Madhouse
18679,Trigger
2034,Toei Animation
25013,Pierrot
37870,SANZIGEN
889,Madhouse
36456,Bones
72,Kyoto Animation
2004,Madhouse
1482,TMS Entertainment
589,Toei Animation
153,Pierrot
1914,Madhouse
42923,Bones
535,E&G Films
16049,J.C.Staff
6211,Bones
