anime_id,theme
5114,Military
9253,Psychological
9253,Time Travel
28977,Gag Humor
28977,Historical
28977,Parody
28977,Samurai
41467,
38524,Gore
38524,Military
38524,Survival
9969,Gag Humor
9969,Historical
9969,Parody
9969,Samurai
11061,
43608,School
15417,Gag Humor
15417,Historical
15417,Parody
15417,Samurai
42938,
34096,Gag Humor
34096,Historical
34096,Parody
34096,Samurai
918,Gag Humor
918,Historical
918,Parody
918,Samurai
52991,
35180,Childcare
35180,Iyashikei
35180,Strategy Game
4181,
2904,Mecha
2904,Military
2904,Super Power
37491,Gag Humor
37491,Historical
37491,Parody
37491,Samurai
35247,Vampire
19,Adult Cast
19,Psychological
51009,School
47917,CGDCT
47917,Music
36838,Gag Humor
36838,Historical
36838,Parody
36838,Samurai
40682,Historical
40682,Military
49387,Gore
49387,Historical
37510,Super Power
40028,Gore
40028,Military
40028,Survival
53998,
32935,School
32935,Team Sports
47778,Historical
17074,Vampire
48583,Gore
48583,Military
48583,Survival
52034,Reincarnation
52034,Showbiz
263,Combat Sports
1,Adult Cast
1,Space
54595,Isekai
54595,Reincarnation
37521,Gore
37521,Historical
50160,Historical
50160,Military
24701,Adult Cast
24701,Historical
24701,Iyashikei
33095,Adult Cast
33095,Historical
33095,Love Polygon
33095,Performing Arts
2921,Combat Sports
48569,Mecha
48569,Military
50172,Super Power
21,
1575,Mecha
1575,Military
1575,School
1575,Super Power
245,Delinquents
245,School
245,Workplace
21939,Adult Cast
21939,Historical
21939,Iyashikei
45576,Isekai
45576,Reincarnation
46102,Adult Cast
46102,Anthropomorphic
46102,Organized Crime
54898,Adult Cast
54898,Detective
54898,Organized Crime
54898,Super Power
54898,Vampire
33352,
34599,Gore
34599,Survival
457,Adult Cast
457,Historical
457,Iyashikei
5258,Combat Sports
41084,Gore
41084,Survival
23273,Love Polygon
23273,Music
23273,School
11665,Iyashikei
11665,Mythology
40591,Psychological
40591,Romantic Subtext
40591,School
28891,School
28891,Team Sports
40748,School
2001,Mecha
34591,Iyashikei
34591,Mythology
22135,
35760,Gore
35760,Military
35760,Survival
1535,Detective
1535,Psychological
19647,Combat Sports
37991,Organized Crime
50265,Childcare
33,Gore
33,Military
32983,Iyashikei
32983,Mythology
10379,Iyashikei
10379,Mythology
28735,Historical
28735,Love Polygon
28735,Performing Arts
7785,Adult Cast
7785,Psychological
7785,Time Travel
44511,Gore
11741,
40417,School
40776,School
40776,Team Sports
5300,Iyashikei
5300,Mythology
877,Adult Cast
877,Love Polygon
877,Music
16498,Gore
16498,Military
16498,Survival
170,School
170,Team Sports
40834,
12365,Otaku Culture
30484,Time Travel
38474,CGDCT
38474,Iyashikei
801,Adult Cast
801,Detective
801,Mecha
801,Military
35839,CGDCT
35843,Gag Humor
35843,Historical
35843,Parody
35843,Samurai
37779,Psychological
37779,Survival
205,Historical
205,Samurai
25777,Gore
25777,Military
25777,Survival
30276,Adult Cast
30276,Parody
30276,Super Power
31933,
47194,Time Travel
12431,Adult Cast
12431,Space
12431,Workplace
38000,Historical
32182,Super Power
30654,School
3297,Iyashikei
36649,Delinquents
36649,Organized Crime
36649,Psychological
6114,Delinquents
6114,Historical
50330,Adult Cast
50330,Detective
50330,Organized Crime
50330,Super Power
37379,Love Polygon
37379,School
37379,Strategy Game
392,Martial Arts
392,Mythology
10165,Gag Humor
10165,School
31181,Vampire
40059,Adult Cast
40059,Historical
40059,Military
53887,Childcare
36999,Vampire
42203,Isekai
42203,Psychological
42203,Time Travel
20583,School
20583,Team Sports
26055,
37105,Adult Cast
2246,Adult Cast
2246,Historical
2246,Mythology
2246,Psychological
49721,Romantic Subtext
