anime_id,members
1,1807209
6,740906
7,113766
8,15185
15,180022
16,263381
17,24483
18,178841
19,1053271
20,2769325
21,2247573
22,180525
23,4700
24,323258
25,136782
26,244647
27,181571
28,96500
29,21849
30,1757367
33,627808
45,485817
48,180317
50,157332
52,57836
53,109496
55,16216
56,17600
57,332893
58,79404
59,474632
60,223646
61,183384
62,75301
63,146686
64,201768
65,103911
66,339935
67,184656
68,266942
69,10691
71,488162
72,292039
73,257563
74,98279
75,47704
76,102120
77,64261
79,275597
80,129582
85,72534
86,41835
89,27192
90,157561
92,35458
93,166842
94,105494
95,46810
96,67876
97,172055
98,114254
99,50842
100,62964
101,294872
102,101986
103,15236
104,61435
105,23230
106,60770
107,37353
109,70101
110,19635
111,16264
112,8692
113,24424
114,136519
115,11558
116,17784
119,35383
120,530290
121,1443118
122,107783
123,117503
125,34978
126,31217
127,22040
129,54457
130,34750
131,23284
132,121024
133,116334
134,187177
135,135542
136,574766
141,11576
142,55635
143,70060
144,64903
145,224437
146,60241
147,140300
148,9201
149,138947
150,371263
152,29745
153,147435
154,359815
156,81335
157,139234
158,68402
159,18630
160,141708
161,57314
162,23580
163,7906
165,117472
166,129472
167,94497
168,81902
169,166035
170,290452
171,5682
173,40670
174,186494
175,29188
177,224930
178,32964
180,83504
181,53409
182,153053
183,14426
184,20401
185,364705
186,209029
189,262213
193,96409
195,174294
196,88467
197,24911
198,111827
200,27546
202,322739
204,27787
205,1207013
206,32194
209,68591
210,249027
218,53145
222,22041
223,1007955
225,616028
226,1481443
228,352449
229,34587
230,38102
231,7894
232,426899
233,25028
234,4239
235,339975
236,16365
237,430186
238,65937
239,244489
240,176010
241,146815
242,45104
243,118492
244,7722
245,802569
246,98999
247,24598
248,113936
249,777741
250,123936
251,111864
252,41261
253,33710
257,161065
260,27973
261,14944
263,564051
266,16455
267,186730
269,1901565
270,707379
271,13934
272,111513
273,26775
274,45683
275,21830
276,62660
277,32331
278,11669
279,37698
280,3119
282,17756
283,31872
284,14188
285,27221
286,11833
287,138294
288,110974
289,19708
290,51705
291,33450
292,21815
293,24490
294,12800
295,7546
296,23118
297,55201
298,67094
301,7583
302,48814
303,22103
306,88548
307,1437
308,20261
309,6080
310,1852
311,13081
318,29660
321,15016
322,219015
323,405928
324,37554
325,101668
326,66709
327,15035
328,8858
329,247724
330,165055
331,10783
332,4093
333,6661
334,54669
335,38367
336,12932
337,11444
338,94366
339,742124
340,24160
341,52025
342,15651
343,75365
344,10479
345,57083
346,15482
347,8132
348,18925
349,5829
350,53845
351,21234
352,20914
353,16537
354,9562
355,529111
356,925652
360,6094
364,14773
369,131538
370,11326
375,8156
379,107873
383,28629
384,352228
385,40713
386,9769
387,278280
388,26643
390,114549
392,666570
394,58594
395,160022
396,33328
397,23401
400,152785
403,31914
406,15201
407,34657
411,76908
412,76336
417,49105
419,55819
421,11925
424,31224
427,84009
435,67881
440,212358
444,27429
445,17126
446,10238
447,18694
455,32953
456,19824
457,806724
467,389697
469,176190
470,27951
471,21018
472,27041
473,7458
476,49035
477,159724
478,76049
479,115899
481,387531
482,212320
483,30834
485,11024
486,305971
487,90560
488,105273
489,61902
490,61978
495,21669
497,29772
501,20412
505,11950
506,9068
508,58573
509,38216
510,6183
511,5969
516,75472
518,8710
519,25690
521,79208
525,17676
527,616187
529,95922
530,372613
532,143591
533,8446
534,139502
535,69289
538,36561
545,3750
546,11470
550,238062
551,85495
552,394038
553,54883
554,24539
555,11997
558,70611
561,25789
563,43212
567,94239
568,38385
569,48619
573,32253
576,34573
577,8541
579,34649
580,6372
582,12649
584,90168
586,74596
587,99553
589,26477
590,26141
591,74129
592,2088
593,43698
598,9853
600,11787
603,48881
604,11910
605,7570
606,16822
607,7462
610,24135
611,4779
612,7088
613,6169
614,9735
616,4687
618,42256
620,26958
621,20579
623,6736
624,20727
626,8687
627,99498
630,11367
633,12716
634,84165
635,18853
636,11161
637,19282
646,4538
648,8180
649,23648
652,10382
653,9606
655,8092
658,101273
667,49886
668,16388
670,41297
671,8440
677,3979
678,14415
682,15141
684,5668
685,9395
687,151512
688,25403
690,39408
691,20973
693,9801
694,26675
696,78243
706,9874
708,8245
709,29244
710,111927
712,15663
714,4031
718,7474
721,165034
727,3454
729,5249
738,51540
740,155048
744,5751
749,1387
750,11699
751,4466
754,4395
763,49224
764,28437
771,7530
776,9402
782,22352
783,6867
786,4922
789,46182
790,631700
795,45449
798,14444
799,6675
800,36916
801,223226
810,3712
812,33453
813,1194629
817,10208
831,23597
832,3375
833,13680
835,9299
836,24672
838,35453
840,19061
841,26547
845,77546
846,159292
849,900552
850,66762
852,24557
853,1097451
854,22165
855,140479
856,168405
857,347459
858,4815
859,86762
860,43665
861,313980
863,37056
865,5753
872,29867
873,73617
874,194461
876,27119
877,636209
878,33916
879,42167
880,65777
886,50801
888,22085
889,978767
890,21230
907,63839
909,14125
910,24212
912,6804
913,6052
914,17415
915,15186
916,45328
918,1039570
919,14226
924,3398
925,4227
926,3108
927,5687
928,6335
929,12743
930,16788
934,790249
935,114377
940,69026
941,32489
942,19056
943,9097
944,21489
951,12006
952,7523
953,72312
956,2560
957,94357
958,18654
959,9026
960,3877
961,11016
962,77515
964,6437
965,5177
966,81166
967,128348
968,3749
969,116414
970,6174
971,23265
973,12046
980,5382
988,1761
990,47749
992,18241
996,110641
998,29812
1000,36698
1005,12966
1013,59214
1017,45464
1018,18223
1019,23622
1021,13469
1022,9641
1025,30903
1035,4054
1037,9230
1040,4960
1045,26184
1046,13313
1048,26337
1050,91620
1057,7251
1060,51202
1062,11366
1065,35016
1067,36396
1068,3761
1069,7900
1070,8423
1082,15259
1083,4041
1086,21457
1087,47020
1088,107044
1093,3987
1097,10790
1098,10254
1103,18719
1104,8513
1108,17268
1110,44179
1123,7831
1126,13577
1127,20314
1128,9763
1132,153806
1133,30876
1136,15019
1137,15851
1138,58009
1139,963
1142,105318
1145,14685
1149,9037
1156,10509
1157,36386
1161,6857
1163,14450
1164,21819
1167,9327
1172,54149
1175,4743
1179,7387
1180,11126
1184,16921
1186,9479
1188,2886
1189,6651
1193,5608
1194,20597
1195,803327
1196,9382
1198,19687
1199,7352
1200,8221
1210,722290
1212,50880
1214,21365
1218,48749
1219,21017
1221,34410
1222,228343
1224,13364
1226,9352
1230,26728
1231,14577
1236,2766
1239,116583
1243,30939
1246,12547
1247,3795
1249,12085
1250,94556
1251,66383
1254,183758
1261,13383
1264,18490
1279,12997
1281,202885
1292,366220
1293,85931
1300,4181
1312,9435
1313,218725
1314,2348
1316,18492
1325,6572
1327,14824
1333,1103
1337,4099
1349,11857
1356,30716
1371,9831
1372,34275
1374,22268
1375,16381
1377,4675
1391,8350
1397,30521
1409,4383
1410,11009
1412,100369
1425,34020
1426,21747
1442,8345
1445,15246
1448,12342
1450,13287
1453,70525
1454,73437
1456,4866
1458,3233
1459,16402
1465,5896
1466,4690
1469,43862
1470,78288
1471,26057
1472,21039
1473,23279
1482,680857
1483,26725
1485,22413
1486,66760
1490,12240
1491,36626
1492,14246
1493,6049
1498,102038
1502,7805
1508,9004
1509,25121
1516,31632
1517,14719
1519,505998
1524,18688
1530,267327
1532,49379
1533,22785
1534,13311
1535,3782591
1536,170282
1537,2371
1538,42440
1541,12073
1542,10435
1543,40408
1546,93515
1547,886
1548,5587
1550,9337
1554,24520
1555,36938
1557,55222
1559,296943
1561,8586
1562,158818
1563,33034
1564,184722
1565,143353
1567,20319
1568,66716
1569,62794
1570,36008
1571,227183
1572,7901
1573,13923
1574,2171
1575,2187945
1578,11637
1579,96968
1581,31472
1583,20903
1587,16880
1588,26830
1589,89718
1590,3162
1591,14057
1592,25458
1594,159050
1597,5745
1599,6035
1600,5432
1601,44770
1602,22572
1603,7929
1604,548968
1606,108715
1607,29575
1608,10028
1614,56943
1617,4010
1618,5524
1623,4892
1628,10470
1629,24655
1638,4732
1642,41021
1650,27887
1651,8475
1652,6105
1655,8914
1656,537
1660,6220
1661,16447
1663,10762
1664,3720
1666,2007
1667,2388
1668,47968
1669,66726
1672,3220
1673,2043
1674,29345
1675,9724
1676,5688
1678,33294
1683,7684
1684,4593
1685,22890
1688,22611
1690,188364
1691,447922
1693,8857
1694,22843
1695,28698
1698,309543
1699,181239
1703,11822
1704,11458
1705,2092
1706,10577
1707,16857
1708,2783
1710,38708
1711,3109
1712,1514
1713,2144
1721,20033
1722,101031
1724,6738
1726,303984
1727,31369
1728,21552
1735,2400627
1737,2548
1738,20245
1739,744
1740,1767
1743,4744
1744,19352
1745,1235
1746,11152
1769,5610
1771,2412
1775,7384
1778,4427
1792,13179
1806,4524
1807,22381
1808,51416
1810,42739
1812,5046
1816,77946
1818,659041
1823,6385
1826,28851
1827,214469
1835,13267
1836,55369
1837,6118
1839,1513
1840,495699
1842,68060
1844,14265
1845,4939
1846,12254
1848,3282
1852,77948
1853,9912
1858,30806
1860,92695
1863,682
1864,10914
1865,8188
1868,8230
1872,1304
1873,3863
1878,7464
1881,8143
1882,4479
1883,2230
1884,2727
1885,2108
1886,6039
1887,637851
1889,471333
1891,2358
1892,1314
1893,3040
1897,2125
1899,3414
1912,14185
1914,40456
1915,52737
1929,18505
1932,17086
1936,1988
1941,11133
1942,8849
1946,31865
1947,2280
1955,2491
1956,79716
1960,3687
1962,2404
1965,99582
1972,11883
1974,38788
1975,1653
1985,11576
1986,1840
1988,11151
1991,5814
2001,1571223
2002,110011
2004,15390
2011,6932
2012,20376
2014,10834
2024,867
2025,929222
2026,223140
2030,53774
2031,34517
2032,9353
2034,574063
2035,26722
2036,4523
2037,9449
2038,5184
2039,3410
2040,3332
2041,10406
2043,21043
2044,14536
2074,1513
2075,1350
2076,30034
2084,3820
2087,3202
2089,6348
2104,323370
2105,19901
2106,10750
2108,17247
2109,9808
2110,8205
2112,44087
2113,10888
2116,84532
2127,2461
2128,2925
2129,214331
2130,78556
2142,53634
2150,26348
2151,6793
2152,12524
2153,6806
2155,21130
2156,105445
2157,6687
2158,61051
2159,99030
2161,31994
2162,9063
2164,144847
2165,5562
2166,27902
2167,1388037
2200,5072
2203,7141
2204,11854
